MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
Undifferentiated Eyre Group Paleocene to Oligocene sandstone,Micaceous quartz sandstone/mudstone  pebbly shelly concretionary beds  glauconitic sandstone/mudstone  marl and impure limestone.,sandstone,Paleogene sedimentary rocks,Eyre Group,Ee,Group 15
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
Middle Pleistocene loess deposits,Yellow brown windblown silt deposits  locally with fine sand or clay  >3m thick and commonly in multiple layers  thicker downslope.,loess,Middle Pleistocene windblown deposits,Middle Pleistocene sediments,mQe,Group 11
Middle Pleistocene loess deposits,Yellow brown windblown silt deposits  locally with fine sand or clay  >3m thick and commonly in multiple layers  thicker downslope.,loess,Middle Pleistocene windblown deposits,Middle Pleistocene sediments,mQe,Group 11
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits of Birch Hill Formation,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined valley or cirque moraines.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,Group 15
Charteris Bay Sandstone (Eyre Group),Massive  light grey/yellow brown  medium to fine  quartzose (quartz cemented) sandstone  locally glauconitic with thin beds of mudstone.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Eyre Group,PEe,Group 15
Bradley Sandstone (Burnt Hill Group),White  medium quartzose sandstone  also coarse to small pebble sandstone. Includes Eocene tuffaceous sandstone and gritty sandstone in NW.,sandstone,Neogene sedimentary rocks,Burnt Hill Group,Mub,Group 15
OIS2 (Late Pleistocene) river deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming extensive terraces or plains.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
Charteris Bay Sandstone (Eyre Group),Massive  light grey/yellow brown  medium to fine  quartzose (quartz cemented) sandstone  locally glauconitic with thin beds of mudstone.,sandstone,Late Cretaceous   Paleogene sedimentary rocks,Eyre Group,PEe,Group 15
Middle Pleistocene fan deposits,Slightly   moderately weathered mixtures of gravel sand silt and clay forming very dissected alluvial fans.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,Group 10
Diamond Harbour Volcanics basaltic lava  breccia and sediments,Basaltic (basanite  basalt  hawaiite) lava flows  dikes  vent plugs  sills  minor interbeds of breccia  conglomerate  sandstone and carbonaceous mudstone.,basalt,Neogene igneous rocks,Diamond Harbour Volcanic Group,Mvd,Group 17
Undifferentiated Rakaia Terrane Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,Group 15
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley or cirque moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
Undifferentiated Rakaia Terrane Triassic thick bedded sandstone and black siltstone,Thickly bedded (beds>10m) greywacke sandstone/black argillitic siltstone (50 50)  minor conglomerate and plant fragments  TZI.,siltstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,Tt,Group 15
OIS2 (Late Pleistocene) glacier deposits of Burnham Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
Lyttelton Volcanics basaltic and trachytic lava  breccia  tuff and domes,Basaltic (hawaiite) to trachytic lava flows interbedded with tuff and breccia (including lahars)  many dikes and minor lava domes.,hawaiite,Neogene igneous rocks,Lyttelton Volcanic Group,Mvl,Group 17
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS2 (Late Pleistocene) glacier deposits of Windwhistle Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS2 OIS1 (Late Pleistocene to Holocene) river deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming low level terraces or abandoned river plains.,gravel,Late Pleistocene   Holocene river deposits,Late Pleistocene   Holocene sediments,Q1a,Group 6
OIS1 (Holocene) estuary deposits,Sand  silt and peat of lagoons and estuaries (Heathcote  Head of the Bay/Teddington,sand,Holocene estuary deposits,Holocene sediments,Q1a,Group 5
OIS1 (Holocene) fan deposits,Grey to brown  generally unweathered  silty subangular gravel and sand with minor peat in alluvial fans (slope 1 20deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Broken River Formation Paleocene to Eocene mudstone (Eyre Group),Carbonaceous and quartzose claystone mudstone and sandstone  local coal seams.,claystone,Paleogene sedimentary rocks,Eyre Group,Peb,Group 15
Middle Pleistocene fan deposits,Slightly   moderately weathered mixtures of gravel sand silt and clay forming very dissected alluvial fans.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,Group 10
Undifferentiated Rakaia Terrane Permian to Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,YTt,Group 15
Undifferentiated Rakaia Terrane Permian to Triassic sandstone and mudstone,Well indurated  greywacke sandstone  argillitic mudstone/siltstone  minor conglomerate/tuffaceous sandstone/volcanics  TZI.,sandstone,Basement (Eastern Province) sedimentary rocks,Rakaia Terrane,YTt,Group 15
OIS1 (Holocene) swamp deposits,Peat swamp deposits with interbedded sand  mud  and gravel  adjacent to alluvial floodplain gravels  and in swales between dunes.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS6 (Middle Pleistocene) fan deposits,Slightly to moderately weathered mixtures of gravel  sand  silt and clay forming dissected alluvial fans.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,Q6a,Group 10
OIS1 (Holocene) estuary deposits,Sand  silt and peat of lagoons and estuaries (Heathcote  Head of the Bay/Teddington,sand,Holocene estuary deposits,Holocene sediments,Q1a,Group 5
Broken River Formation Late Cretaceous to Eocene mudstone (Eyre Group),Carbonaceous and quartzose claystone mudstone and sandstone  local coal seams.,claystone,Late Cretaceous   Paleogene sedimentary rocks,Eyre Group,lKb,Group 15
OIS1 (Holocene) scree deposits,Variable gravelly scree or colluvium deposits on >20 deg slopes  may merge with alluvial fans  may include minor glacial tills.,gravel,Holocene hill slope deposits,Holocene sediments,Q1s,Group 10
OIS1 (Holocene) ocean beach deposits,Unweathered Holocene marine sand  gravel  and silt associated with modern beaches and estuaries.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
OIS1 (Holocene) river deposits,Unweathered  variably sorted gravel/sand/silt/clay and minor peat of postglacial floodplains  may be terraced. Surface <2 deg slope.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
Middle Pleistocene river deposits of Woodlands and Hororata formations,Slightly   moderately weathered mixtures of gravel sand silt and clay forming dissected river terraces/plateaux.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,Group 6
OIS1 (Holocene) fan deposits of Springston and Nine Mile formations,Generally unweathered  variable mixtures of gravel  sand and silt forming alluvial fans (surface slope 1 to 20 deg).,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 10
Lyttelton Volcanics basaltic and trachytic lava  breccia  tuff and domes,Basaltic (hawaiite) to trachytic lava flows interbedded with tuff and breccia (including lahars)  many dikes and minor lava domes.,hawaiite,Neogene igneous rocks,Lyttelton Volcanic Group,Mvl,Group 17
OIS2 (Late Pleistocene) river deposits,Generally unweathered  variable mixtures of gravel/sand/silt/clay forming extensive terraces or plains.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 6
OIS2 (Late Pleistocene) glacier deposits of St Bernard Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS1 (Holocene) swamp deposits,Peat swamp deposits with interbedded sand  mud  and gravel  adjacent to alluvial floodplain gravels  and in swales between dunes.,peat,Holocene swamp deposits,Holocene sediments,Q1a,Group 1
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined valley or cirque moraines.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
OIS1 (Holocene) glacier deposits,Unweathered bouldery till  mixtures of gravel/sand/silt/clay  in sharply defined moraines or rock glaciers  merges with scree.,gravel,Holocene glacier deposits,Holocene sediments,Q1t,Group 14
Allandale Rhyolite,Flow banded porphyritic rhyolite and dacite lava flows and domes  local rhyolite breccias around dome bases  rare tuffs and obsidian.,rhyolite,Neogene igneous rocks,Allandale Rhyolite,Mva,Group 18
OIS1 (Holocene) active riverbed deposits,Active flood plain. Unweathered  rounded subangular  variably sorted loose gravel/sand/mud. Associated with surfaces <2 deg slope.,gravel,Holocene river deposits,Holocene sediments,Q1a,Group 6
OIS2 (Late Pleistocene) glacier deposits of Burnham Formation,Generally unweathered bouldery till  mixtures of gravel/sand/silt/clay  in well defined valley moraines.,gravel,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS2 (Late Pleistocene) glacier deposits,Generally unweathered bouldery till  poorly sorted mixtures of gravel/sand/silt/clay  well preserved moraine ridges.,till,Late Pleistocene glacier deposits,Late Pleistocene sediments,Q2t,Group 14
OIS4 OIS2 (Late Pleistocene) fan deposits,Variably weathered mixtures of gravel  sand and silt forming slightly to highly dissected alluvial fan complexes.,gravel,Late Pleistocene river deposits,Late Pleistocene sediments,Q2a,Group 10
