mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Mungaroa Limestone Formation (Tora Group),Lenses of well bedded muddy limestone.,limestone,Paleogene sedimentary rocks,Tora Group,Pt,19_undifSed
Late Miocene mudstone (Tolaga Group  Hurupi Group and Onoke Group),Massive blue grey calcareous mudstone with sparse fossils and discontinuous limestone lenses and sparse tuff beds.,mudstone,Neogene sedimentary rocks,Palliser Group  Hurupi Group  Soren Group and Onoke Group,Msb,19_undifSed
Manurewa  Awhea  Awheaiti  Pukemuri and Wanstead formations (Tora Group),Graded bedded to massive sandstone  siltstone  calcareous bentonitic mudstone  and greensand.,sandstone,Paleogene sedimentary rocks,Tora Group,Pt,19_undifSed
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
Mangapokia Formation sandstone (Pahaoa Group),Well bedded  commonly graded  sandstone and siltstone with minor spilitic volcanics.,sandstone,Basement (Eastern Province) sedimentary rocks,Torlesse Composite Terrane,Kam,19_undifSed
Manurewa  Awhea  Awheaiti  Pukemuri and Wanstead formations (Tora Group),Graded bedded to massive sandstone  siltstone  calcareous bentonitic mudstone  and greensand.,sandstone,Paleogene sedimentary rocks,Tora Group,Pt,19_undifSed
OIS1 (Holocene) fan deposits,Alluvial fan  scree  and colluvial deposits consisting of poorly sorted gravels.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Undifferentiated Pleistocene to Holocene landslide deposits,Landslide deposits ranging from coherent shattered masses of rock to unsorted fragments in a fine grained matrix.,breccia,Pleistocene   Holocene hill slope deposits,Pleistocene   Holocene sediments,uQl,99_unknown
Manurewa  Awhea  Awheaiti  Pukemuri and Wanstead formations (Tora Group),Graded bedded to massive sandstone  siltstone  calcareous bentonitic mudstone  and greensand.,sandstone,Paleogene sedimentary rocks,Tora Group,Pt,19_undifSed
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
OIS1 (Holocene) river deposits,Gravel  sand and silt.,gravel,Holocene river deposits,Holocene sediments,Q1a,05_alluvial
OIS5 (Late Pleistocene) ocean beach deposits,Beach deposits consisting of marine gravel with sand  commonly underlying loess and fan deposits.,gravel,Late Pleistocene shoreline deposits,Late Pleistocene sediments,Q5b,08_beach
Pahau Terrane volcanics,Spilitic basalt  dolerite and camptonite.,basalt,Basement (Eastern Province) igneous rocks,Pahau Terrane,Ktp,17_igneous
Middle Pleistocene river deposits,Undifferentiated middle Pleistocene alluvial gravels.,gravel,Middle Pleistocene river deposits,Middle Pleistocene sediments,mQa,05_alluvial
Rangiawhia Volcanics (Houhora Complex),Pillowed and massive flows of basalt and basaltic andesite  interbedded with rhyolitic tuff and tuff breccia.,basalt,Basement (Eastern Province) igneous rocks,Mount Camel Terrane,Khr,17_igneous
Rangiawhia Volcanics (Houhora Complex),Pillowed and massive flows of basalt and basaltic andesite  interbedded with rhyolitic tuff and tuff breccia.,basalt,Basement (Eastern Province) igneous rocks,Mount Camel Terrane,Khr,17_igneous
Rangiawhia Volcanics (Houhora Complex),Pillowed and massive flows of basalt and basaltic andesite  interbedded with rhyolitic tuff and tuff breccia.,basalt,Basement (Eastern Province) igneous rocks,Mount Camel Terrane,Khr,17_igneous
Rangiawhia Volcanics (Houhora Complex),Pillowed and massive flows of basalt and basaltic andesite  interbedded with rhyolitic tuff and tuff breccia.,basalt,Basement (Eastern Province) igneous rocks,Mount Camel Terrane,Khr,17_igneous
OIS5+ (Early Pleistocene to Middle Pleistocene) dune deposits,Uncemented to moderately cemented and partly consolidated sand in coastal foredunes. Clay rich sandy soils.,sand,Early Pleistocene   Middle Pleistocene windblown deposits,Early Pleistocene   Middle Pleistocene sediments,eQd,09_dune
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,04_estuarine
OIS5+ (Early Pleistocene to Middle Pleistocene) dune deposits,Uncemented to moderately cemented and partly consolidated sand in coastal foredunes. Clay rich sandy soils.,sand,Early Pleistocene   Middle Pleistocene windblown deposits,Early Pleistocene   Middle Pleistocene sediments,eQd,09_dune
Awhitu Group dunes,Cemented dune sands and associated facies.,sand,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Paratoetoe Formation (Parengarenga Group),Muddy fine grained sandstone with pebble to boulder conglomerate  pebbly sandstone and pebbly mudstone.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpp,19_undifSed
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,17_igneous
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,17_igneous
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,04_estuarine
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,17_igneous
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,17_igneous
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
OIS5+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated sand  mud and peat of estuarine  swamp  alluvial and colluvial origins.,sand,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,04_estuarine
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,17_igneous
Awhitu Group dunes,Cemented dune sands and associated facies.,sand,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Tom Bowling Formation (Parengarenga Group),Basal shelly breccia overlain by mudstone and muddy sandstone  with minor tuff and lapilli tuff.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpt,19_undifSed
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,17_igneous
Kaurahoupo Conglomerate (Parengarenga Group),Poorly bedded sandstone and conglomerate derived from Coromandel Group volcanoes.,conglomerate,Neogene sedimentary rocks,Parengarenga Group,Mpk,19_undifSed
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,17_igneous
Kaurahoupo Conglomerate (Parengarenga Group),Poorly bedded sandstone and conglomerate derived from Coromandel Group volcanoes.,conglomerate,Neogene sedimentary rocks,Parengarenga Group,Mpk,19_undifSed
Undifferentiated Mangakahia Complex in Northland Allochthon,Undifferentiated alternating mudstone and sandstone  siliceous mudstone and micritic muddy limestone.,mudstone,Allochthonous rocks,Northland Allochthon,Kk,19_undifSed
Paratoetoe Formation (Parengarenga Group),Muddy fine grained sandstone with pebble to boulder conglomerate  pebbly sandstone and pebbly mudstone.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpp,19_undifSed
Paratoetoe Formation (Parengarenga Group),Muddy fine grained sandstone with pebble to boulder conglomerate  pebbly sandstone and pebbly mudstone.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpp,19_undifSed
Paratoetoe Formation (Parengarenga Group),Muddy fine grained sandstone with pebble to boulder conglomerate  pebbly sandstone and pebbly mudstone.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpp,19_undifSed
Paratoetoe Formation (Parengarenga Group),Muddy fine grained sandstone with pebble to boulder conglomerate  pebbly sandstone and pebbly mudstone.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpp,19_undifSed
Kaurahoupo Conglomerate (Parengarenga Group),Poorly bedded sandstone and conglomerate derived from Coromandel Group volcanoes.,conglomerate,Neogene sedimentary rocks,Parengarenga Group,Mpk,19_undifSed
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Awhitu Group dunes,Cemented dune sands and associated facies.,sand,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Paratoetoe Formation (Parengarenga Group),Muddy fine grained sandstone with pebble to boulder conglomerate  pebbly sandstone and pebbly mudstone.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpp,19_undifSed
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Undifferentiated Warkworth Subgroup sandstone (Waitemata Group),Alternating graded sandstone and mudstone.,sandstone,Neogene sedimentary rocks,Waitemata Group,Mwd,19_undifSed
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
OIS5+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated sand  mud and peat of estuarine  swamp  alluvial and colluvial origins.,sand,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,04_estuarine
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Paratoetoe Formation (Parengarenga Group),Muddy fine grained sandstone with pebble to boulder conglomerate  pebbly sandstone and pebbly mudstone.,sandstone,Neogene sedimentary rocks,Parengarenga Group,Mpp,19_undifSed
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,04_estuarine
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Awhitu Group dunes,Cemented dune sands and associated facies.,sand,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Kaurahoupo Conglomerate (Parengarenga Group),Poorly bedded sandstone and conglomerate derived from Coromandel Group volcanoes.,conglomerate,Neogene sedimentary rocks,Parengarenga Group,Mpk,19_undifSed
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,09_dune
Awhitu Group dunes,Cemented dune sands and associated facies.,sand,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
OIS5+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated sand  mud and peat of estuarine  swamp  alluvial and colluvial origins.,sand,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,04_estuarine
